"k",673,"k","128","1","2","2"
"k",520,"j","54","1","1","2"
"j",627,"j","12","2","1","1"
"k",671,"k","115","1","2","2"
"k",719,"k","75","2","2","1"
"k",711,"k","97","1","2","1"
"j",564,"j","8","2","1","1"
"k",455,"k","101","1","2","1"
"k",515,"k","67","2","2","1"
"k",468,"k","91","2","2","2"
"j",536,"j","51","1","1","2"
"j",722,"j","46","1","1","1"
"j",781,"k","98","1","2","1"
"j",653,"j","48","1","1","1"
"k",707,"k","117","1","2","2"
"j",575,"j","27","2","1","2"
"j",578,"j","24","2","1","2"
"j",468,"j","45","1","1","1"
"k",494,"k","71","2","2","1"
"k",638,"k","96","2","2","2"
"j",737,"j","50","1","1","2"
"j",742,"j","20","2","1","2"
"k",658,"k","126","1","2","2"
"k",648,"k","66","2","2","1"
"j",467,"j","21","2","1","2"
"j",576,"j","59","1","1","2"
"j",513,"j","31","2","1","2"
"k",722,"k","82","2","2","2"
"j",733,"j","36","1","1","1"
"k",568,"j","49","1","1","2"
"j",567,"j","63","1","1","2"
"j",481,"j","10","2","1","1"
"k",673,"k","120","1","2","2"
"k",645,"k","79","2","2","1"
"k",471,"k","86","2","2","2"
"k",410,"k","65","2","2","1"
"k",526,"k","69","2","2","1"
"k",493,"j","14","2","1","1"
"k",538,"k","95","2","2","2"
"j",634,"j","52","1","1","2"
"k",421,"j","30","2","1","2"
"j",900,"j","55","1","1","2"
"k",829,"k","74","2","2","1"
"j",515,"j","42","1","1","1"
"j",680,"j","64","1","1","2"
"j",627,"j","33","1","1","1"
"k",524,"k","112","1","2","1"
"k",786,"k","99","1","2","1"
"k",727,"k","111","1","2","1"
"j",651,"j","6","2","1","1"
"k",1028,"k","110","1","2","1"
"j",932,"j","17","2","1","2"
"j",740,"j","9","2","1","1"
"j",1041,"j","11","2","1","1"
"j",585,"j","58","1","1","2"
"k",632,"k","108","1","2","1"
"k",534,"k","125","1","2","2"
"k",510,"k","70","2","2","1"
"k",661,"k","76","2","2","1"
"j",1056,"j","61","1","1","2"
"j",753,"j","29","2","1","2"
"j",673,"j","13","2","1","1"
"j",611,"j","26","2","1","2"
"k",1020,"k","121","1","2","2"
"k",575,"k","73","2","2","1"
"k",702,"k","83","2","2","2"
"j",673,"j","37","1","1","1"
"j",896,"j","25","2","1","2"
"k",684,"k","102","1","2","1"
"j",714,"k","72","2","2","1"
"k",632,"k","107","1","2","1"
"k",649,"k","92","2","2","2"
"j",694,"j","16","2","1","1"
"k",975,"j","60","1","1","2"
"k",776,"k","116","1","2","2"
"j",1036,"j","4","2","1","1"
"k",1167,"k","127","1","2","2"
"j",593,"j","22","2","1","2"
"k",507,"k","103","1","2","1"
"j",482,"j","40","1","1","1"
"j",857,"j","5","2","1","1"
"j",844,"j","62","1","1","2"
"k",717,"k","104","1","2","1"
"j",627,"j","23","2","1","2"
"k",593,"k","106","1","2","1"
"j",582,"j","47","1","1","1"
"k",611,"k","89","2","2","2"
"j",677,"j","3","2","1","1"
"j",829,"j","15","2","1","1"
"j",745,"j","57","1","1","2"
"k",662,"k","87","2","2","2"
"k",680,"k","100","1","2","1"
"j",546,"j","56","1","1","2"
"k",666,"k","94","2","2","2"
"k",820,"j","34","1","1","1"
"k",1032,"k","113","1","2","2"
"k",581,"k","105","1","2","1"
"k",1039,"k","81","2","2","2"
"k",666,"k","119","1","2","2"
"k",615,"k","88","2","2","2"
"k",1139,"k","114","1","2","2"
"j",908,"j","38","1","1","1"
"j",940,"j","41","1","1","1"
"k",594,"k","78","2","2","1"
"j",914,"j","19","2","1","2"
"j",648,"j","44","1","1","1"
"k",547,"k","109","1","2","1"
"j",773,"j","7","2","1","1"
"k",522,"k","123","1","2","2"
"k",808,"k","93","2","2","2"
"k",684,"k","68","2","2","1"
"k",590,"k","80","2","2","1"
"k",505,"k","77","2","2","1"
"k",600,"k","124","1","2","2"
"k",824,"j","32","2","1","2"
"k",534,"k","84","2","2","2"
"k",829,"k","118","1","2","2"
"k",575,"k","85","2","2","2"
"j",853,"j","2","2","1","1"
"k",626,"j","1","2","1","1"
"j",1133,"j","28","2","1","2"
"j",749,"j","53","1","1","2"
"k",702,"k","122","1","2","2"
"k",669,"k","90","2","2","2"
"j",673,"j","35","1","1","1"
"j",822,"j","39","1","1","1"
"j",989,"j","43","1","1","1"
"j",616,"j","18","2","1","2"
