"j",1049,"k","35","1","1","1"
"j",651,"j","14","2","1","1"
"k",716,"k","64","1","1","2"
"k",747,"k","111","1","2","1"
"j",597,"j","88","2","2","2"
"k",798,"k","127","1","2","2"
"j",776,"j","27","2","1","2"
"k",900,"k","100","1","2","1"
"j",604,"j","84","2","2","2"
"j",743,"j","95","2","2","2"
"j",619,"j","80","2","2","1"
"k",786,"k","37","1","1","1"
"k",708,"k","42","1","1","1"
"k",692,"k","113","1","2","2"
"k",663,"k","112","1","2","1"
"j",623,"j","28","2","1","2"
"j",621,"j","77","2","2","1"
"j",558,"j","65","2","2","1"
"k",766,"k","51","1","1","2"
"j",568,"j","10","2","1","1"
"k",659,"k","59","1","1","2"
"j",532,"j","32","2","1","2"
"j",768,"j","86","2","2","2"
"k",571,"k","120","1","2","2"
"j",502,"j","76","2","2","1"
"j",576,"j","20","2","1","2"
"k",818,"k","128","1","2","2"
"j",586,"j","85","2","2","2"
"k",648,"k","117","1","2","2"
"j",475,"j","21","2","1","2"
"j",559,"j","8","2","1","1"
"j",637,"j","74","2","2","1"
"j",478,"j","79","2","2","1"
"j",448,"j","73","2","2","1"
"k",617,"k","33","1","1","1"
"k",581,"k","105","1","2","1"
"k",743,"k","101","1","2","1"
"k",757,"k","50","1","1","2"
"j",537,"j","89","2","2","2"
"j",548,"j","9","2","1","1"
"k",689,"k","47","1","1","1"
"j",583,"j","83","2","2","2"
"j",615,"j","12","2","1","1"
"k",533,"k","99","1","2","1"
"k",575,"k","103","1","2","1"
"j",642,"j","13","2","1","1"
"k",568,"k","125","1","2","2"
"k",578,"k","109","1","2","1"
"j",521,"j","11","2","1","1"
"k",639,"k","45","1","1","1"
"k",592,"k","62","1","1","2"
"k",689,"k","110","1","2","1"
"j",554,"j","66","2","2","1"
"k",547,"k","52","1","1","2"
"j",570,"j","3","2","1","1"
"k",677,"k","46","1","1","1"
"k",565,"k","56","1","1","2"
"k",631,"k","39","1","1","1"
"j",551,"j","82","2","2","2"
"j",520,"j","4","2","1","1"
"k",496,"k","123","1","2","2"
"j",528,"j","96","2","2","2"
"k",565,"k","57","1","1","2"
"j",462,"j","71","2","2","1"
"j",747,"j","75","2","2","1"
"k",827,"k","55","1","1","2"
"k",709,"k","54","1","1","2"
"k",555,"k","60","1","1","2"
"k",520,"k","53","1","1","2"
"j",746,"j","18","2","1","2"
"k",792,"k","114","1","2","2"
"k",542,"k","44","1","1","1"
"j",606,"j","92","2","2","2"
"j",644,"j","17","2","1","2"
"k",830,"k","115","1","2","2"
"j",667,"j","90","2","2","2"
"j",686,"j","67","2","2","1"
"j",488,"j","2","2","1","1"
"k",629,"k","41","1","1","1"
"k",627,"k","116","1","2","2"
"j",662,"j","70","2","2","1"
"j",518,"j","78","2","2","1"
"j",882,"j","7","2","1","1"
"j",494,"j","93","2","2","2"
"j",634,"j","1","2","1","1"
"k",811,"k","40","1","1","1"
"j",734,"j","26","2","1","2"
"j",725,"j","29","2","1","2"
"j",498,"j","87","2","2","2"
"k",624,"k","97","1","2","1"
"j",747,"j","30","2","1","2"
"j",514,"j","15","2","1","1"
"k",656,"k","107","1","2","1"
"k",655,"k","63","1","1","2"
"j",602,"j","24","2","1","2"
"k",670,"k","61","1","1","2"
"k",801,"k","118","1","2","2"
"j",536,"j","16","2","1","1"
"j",500,"j","23","2","1","2"
"k",574,"k","124","1","2","2"
"k",588,"k","98","1","2","1"
"k",711,"k","102","1","2","1"
"k",521,"k","38","1","1","1"
"k",634,"k","49","1","1","2"
"k",527,"k","119","1","2","2"
"j",673,"j","69","2","2","1"
"j",513,"j","68","2","2","1"
"k",656,"k","106","1","2","1"
"k",510,"k","108","1","2","1"
"k",713,"k","122","1","2","2"
"j",656,"j","91","2","2","2"
"k",609,"k","126","1","2","2"
"k",720,"k","34","1","1","1"
"k",625,"k","43","1","1","1"
"k",617,"k","58","1","1","2"
"k",580,"k","48","1","1","1"
"j",575,"j","81","2","2","2"
"k",803,"k","36","1","1","1"
"j",704,"j","94","2","2","2"
"j",486,"j","6","2","1","1"
"j",468,"j","22","2","1","2"
"j",503,"j","5","2","1","1"
"k",734,"k","121","1","2","2"
"j",594,"j","72","2","2","1"
"j",589,"j","25","2","1","2"
"j",527,"j","19","2","1","2"
"k",727,"k","104","1","2","1"
"j",574,"j","31","2","1","2"
