"k",1068,"k","111","1","2","1"
"j",598,"j","47","1","1","1"
"j",885,"j","51","1","1","2"
"k",948,"k","93","2","2","2"
"k",795,"k","67","2","2","1"
"k",654,"k","107","1","2","1"
"k",638,"k","96","2","2","2"
"j",1068,"j","33","1","1","1"
"k",892,"k","113","1","2","2"
"k",1420,"k","115","1","2","2"
"j",711,"j","35","1","1","1"
"j",989,"j","1","2","1","1"
"j",627,"j","3","2","1","1"
"j",501,"j","8","2","1","1"
"j",550,"j","58","1","1","2"
"j",1208,"j","50","1","1","2"
"j",619,"j","11","2","1","1"
"k",677,"k","84","2","2","2"
"k",469,"k","92","2","2","2"
"j",520,"j","40","1","1","1"
"j",1167,"k","120","1","2","2"
"k",1077,"k","122","1","2","2"
"k",830,"k","99","1","2","1"
"k",726,"k","76","2","2","1"
"k",585,"k","78","2","2","1"
"k",980,"k","100","1","2","1"
"j",693,"j","19","2","1","2"
"j",698,"j","16","2","1","1"
"k",688,"k","123","1","2","2"
"j",815,"j","59","1","1","2"
"j",650,"j","38","1","1","1"
"j",826,"j","7","2","1","1"
"j",727,"j","17","2","1","2"
"j",731,"j","21","2","1","2"
"j",914,"j","54","1","1","2"
"k",733,"k","74","2","2","1"
"j",1190,"j","14","2","1","1"
"k",1129,"k","88","2","2","2"
"k",672,"k","71","2","2","1"
"j",741,"j","30","2","1","2"
"k",772,"k","73","2","2","1"
"k",1111,"k","112","1","2","1"
"k",1233,"k","98","1","2","1"
"k",897,"k","79","2","2","1"
"k",770,"k","104","1","2","1"
"j",1015,"j","39","1","1","1"
"k",1334,"k","89","2","2","2"
"j",1212,"j","32","2","1","2"
"j",1521,"j","49","1","1","2"
"j",981,"j","5","2","1","1"
"j",802,"j","52","1","1","2"
"k",970,"k","124","1","2","2"
"k",866,"k","75","2","2","1"
"j",1056,"j","36","1","1","1"
"j",608,"j","45","1","1","1"
"j",729,"j","46","1","1","1"
"k",753,"k","95","2","2","2"
"j",596,"j","37","1","1","1"
"k",1062,"k","83","2","2","2"
"k",1187,"k","126","1","2","2"
"j",999,"j","27","2","1","2"
"k",901,"k","87","2","2","2"
"j",1084,"j","29","2","1","2"
"j",692,"j","15","2","1","1"
"k",690,"k","91","2","2","2"
"k",749,"k","94","2","2","2"
"k",643,"k","127","1","2","2"
"k",567,"k","77","2","2","1"
"k",650,"k","101","1","2","1"
"j",645,"j","43","1","1","1"
"j",565,"j","10","2","1","1"
"j",527,"j","41","1","1","1"
"k",535,"k","109","1","2","1"
"k",1070,"k","72","2","2","1"
"j",627,"j","28","2","1","2"
"k",679,"k","97","1","2","1"
"j",726,"j","62","1","1","2"
"k",806,"k","125","1","2","2"
"j",651,"j","53","1","1","2"
"k",609,"k","85","2","2","2"
"j",821,"j","6","2","1","1"
"k",899,"k","90","2","2","2"
"k",856,"k","69","2","2","1"
"k",756,"k","110","1","2","1"
"j",807,"j","57","1","1","2"
"j",983,"j","24","2","1","2"
"j",1663,"j","26","2","1","2"
"k",804,"k","103","1","2","1"
"j",680,"j","61","1","1","2"
"j",1127,"j","31","2","1","2"
"k",700,"k","86","2","2","2"
"k",518,"k","102","1","2","1"
"j",640,"j","22","2","1","2"
"j",659,"j","12","2","1","1"
"k",689,"k","108","1","2","1"
"k",649,"k","66","2","2","1"
"j",592,"j","23","2","1","2"
"j",888,"j","20","2","1","2"
"j",638,"j","13","2","1","1"
"j",845,"j","9","2","1","1"
"j",833,"k","105","1","2","1"
"k",1708,"k","82","2","2","2"
"k",877,"k","117","1","2","2"
"j",1104,"j","60","1","1","2"
"j",903,"j","63","1","1","2"
"k",694,"k","80","2","2","1"
"j",554,"j","44","1","1","1"
"k",794,"k","106","1","2","1"
"j",780,"j","18","2","1","2"
"j",823,"j","25","2","1","2"
"j",1376,"k","128","1","2","2"
"j",1744,"j","55","1","1","2"
"k",1172,"k","68","2","2","1"
"k",1358,"k","114","1","2","2"
"j",730,"j","56","1","1","2"
"k",516,"k","65","2","2","1"
"k",1128,"k","121","1","2","2"
"j",1077,"j","64","1","1","2"
"k",780,"k","81","2","2","2"
"j",559,"j","42","1","1","1"
"j",1112,"j","34","1","1","1"
"j",848,"j","48","1","1","1"
"j",674,"j","4","2","1","1"
"k",729,"k","119","1","2","2"
"j",1184,"k","118","1","2","2"
"j",1356,"j","2","2","1","1"
"k",644,"k","70","2","2","1"
"k",874,"k","116","1","2","2"
