"j",797,"j","2","2","1","1"
"k",820,"k","103","1","2","1"
"j",616,"j","53","1","1","2"
"k",615,"k","99","1","2","1"
"k",635,"k","69","2","2","1"
"j",675,"j","28","2","1","2"
"k",589,"k","71","2","2","1"
"k",607,"k","120","1","2","2"
"k",669,"k","100","1","2","1"
"k",739,"k","76","2","2","1"
"j",708,"j","58","1","1","2"
"k",635,"k","86","2","2","2"
"j",730,"j","24","2","1","2"
"k",864,"k","125","1","2","2"
"j",1195,"j","31","2","1","2"
"j",722,"j","46","1","1","1"
"j",624,"j","55","1","1","2"
"k",699,"k","127","1","2","2"
"j",1663,"j","34","1","1","1"
"k",940,"k","91","2","2","2"
"j",909,"j","39","1","1","1"
"j",783,"j","43","1","1","1"
"j",729,"j","57","1","1","2"
"j",576,"j","9","2","1","1"
"k",1154,"k","72","2","2","1"
"j",628,"j","35","1","1","1"
"j",642,"j","10","2","1","1"
"k",644,"k","79","2","2","1"
"k",519,"k","66","2","2","1"
"k",823,"k","111","1","2","1"
"j",607,"j","4","2","1","1"
"j",1233,"j","49","1","1","2"
"j",609,"j","40","1","1","1"
"j",466,"j","3","2","1","1"
"j",506,"j","60","1","1","2"
"k",659,"k","105","1","2","1"
"k",722,"k","70","2","2","1"
"j",682,"j","45","1","1","1"
"j",511,"j","56","1","1","2"
"k",932,"k","93","2","2","2"
"j",523,"j","48","1","1","1"
"k",665,"k","109","1","2","1"
"j",510,"j","12","2","1","1"
"k",719,"k","110","1","2","1"
"j",546,"j","63","1","1","2"
"j",630,"j","30","2","1","2"
"k",670,"k","80","2","2","1"
"j",482,"j","42","1","1","1"
"j",642,"k","114","1","2","2"
"",0,"k","96","2","2","2"
"k",1089,"k","107","1","2","1"
"k",914,"k","65","2","2","1"
"k",1088,"k","67","2","2","1"
"k",622,"k","74","2","2","1"
"j",863,"j","5","2","1","1"
"j",550,"j","11","2","1","1"
"j",656,"j","19","2","1","2"
"j",567,"j","6","2","1","1"
"j",1041,"j","37","1","1","1"
"j",721,"j","13","2","1","1"
"j",816,"j","59","1","1","2"
"j",1386,"j","64","1","1","2"
"k",1473,"k","118","1","2","2"
"j",949,"j","52","1","1","2"
"k",869,"k","84","2","2","2"
"",0,"j","32","2","1","2"
"j",782,"j","26","2","1","2"
"j",1082,"j","23","2","1","2"
"j",1007,"j","36","1","1","1"
"k",694,"k","95","2","2","2"
"k",1056,"k","89","2","2","2"
"j",705,"j","51","1","1","2"
"k",922,"k","117","1","2","2"
"j",1694,"j","54","1","1","2"
"k",833,"k","85","2","2","2"
"j",930,"j","33","1","1","1"
"j",864,"j","17","2","1","2"
"k",689,"k","83","2","2","2"
"j",564,"j","41","1","1","1"
"j",793,"j","29","2","1","2"
"j",794,"j","44","1","1","1"
"k",731,"k","122","1","2","2"
"k",577,"k","128","1","2","2"
"k",1081,"k","98","1","2","1"
"j",1060,"j","61","1","1","2"
"k",853,"k","77","2","2","1"
"k",689,"k","121","1","2","2"
"k",814,"k","73","2","2","1"
"k",645,"k","87","2","2","2"
"k",1067,"k","97","1","2","1"
"k",786,"k","104","1","2","1"
"k",821,"k","94","2","2","2"
"j",760,"j","18","2","1","2"
"k",778,"k","81","2","2","2"
"j",649,"j","21","2","1","2"
"k",563,"k","106","1","2","1"
"j",997,"j","1","2","1","1"
"j",683,"j","8","2","1","1"
"j",1228,"j","27","2","1","2"
"k",1159,"k","108","1","2","1"
"k",1418,"k","115","1","2","2"
"k",835,"k","102","1","2","1"
"k",758,"k","101","1","2","1"
"k",882,"k","90","2","2","2"
"j",646,"j","25","2","1","2"
"k",770,"k","116","1","2","2"
"j",646,"j","22","2","1","2"
"k",760,"k","82","2","2","2"
"k",726,"k","88","2","2","2"
"j",703,"j","16","2","1","1"
"k",711,"k","126","1","2","2"
"j",707,"j","38","1","1","1"
"k",1266,"k","113","1","2","2"
"j",873,"j","7","2","1","1"
"j",1051,"j","14","2","1","1"
"k",819,"k","92","2","2","2"
"j",1252,"j","62","1","1","2"
"k",902,"k","112","1","2","1"
"k",950,"k","119","1","2","2"
"j",1003,"j","50","1","1","2"
"j",714,"j","47","1","1","1"
"k",681,"k","75","2","2","1"
"k",737,"k","68","2","2","1"
"k",637,"k","78","2","2","1"
"j",1278,"j","15","2","1","1"
"k",746,"k","124","1","2","2"
"k",897,"k","123","1","2","2"
"j",824,"j","20","2","1","2"
