"j",739,"j","8","2","1","1"
"k",1047,"k","68","2","2","1"
"j",713,"j","26","2","1","2"
"j",597,"j","28","2","1","2"
"j",752,"j","35","1","1","1"
"j",831,"j","40","1","1","1"
"j",754,"j","5","2","1","1"
"j",710,"j","59","1","1","2"
"j",576,"j","56","1","1","2"
"k",723,"k","123","1","2","2"
"k",1079,"k","97","1","2","1"
"k",1059,"k","115","1","2","2"
"j",721,"j","18","2","1","2"
"k",753,"k","107","1","2","1"
"j",600,"j","45","1","1","1"
"k",817,"k","118","1","2","2"
"j",900,"j","20","2","1","2"
"k",901,"k","124","1","2","2"
"k",993,"k","70","2","2","1"
"j",747,"j","53","1","1","2"
"j",671,"j","15","2","1","1"
"j",805,"j","63","1","1","2"
"k",789,"k","122","1","2","2"
"k",894,"k","128","1","2","2"
"j",694,"j","58","1","1","2"
"k",705,"k","86","2","2","2"
"k",586,"k","121","1","2","2"
"j",906,"j","19","2","1","2"
"k",749,"k","92","2","2","2"
"k",836,"k","81","2","2","2"
"j",1269,"k","114","1","2","2"
"j",680,"j","21","2","1","2"
"k",824,"k","75","2","2","1"
"j",696,"j","22","2","1","2"
"k",741,"k","93","2","2","2"
"k",1168,"k","72","2","2","1"
"k",1022,"k","99","1","2","1"
"k",920,"k","117","1","2","2"
"j",692,"j","25","2","1","2"
"k",807,"k","126","1","2","2"
"k",643,"k","100","1","2","1"
"j",948,"j","52","1","1","2"
"k",1169,"k","101","1","2","1"
"j",914,"j","30","2","1","2"
"j",623,"j","4","2","1","1"
"k",733,"k","116","1","2","2"
"j",640,"j","41","1","1","1"
"j",559,"j","44","1","1","1"
"k",719,"k","112","1","2","1"
"j",586,"j","31","2","1","2"
"k",530,"k","80","2","2","1"
"j",494,"j","6","2","1","1"
"j",845,"j","27","2","1","2"
"k",581,"k","91","2","2","2"
"k",550,"k","77","2","2","1"
"k",592,"k","71","2","2","1"
"j",734,"j","1","2","1","1"
"j",840,"j","39","1","1","1"
"k",749,"k","73","2","2","1"
"k",967,"k","105","1","2","1"
"k",800,"j","47","1","1","1"
"k",666,"k","109","1","2","1"
"k",871,"k","127","1","2","2"
"k",976,"k","89","2","2","2"
"k",959,"k","119","1","2","2"
"j",715,"j","55","1","1","2"
"j",759,"j","3","2","1","1"
"k",1264,"k","98","1","2","1"
"j",1393,"j","50","1","1","2"
"k",782,"k","95","2","2","2"
"j",585,"j","11","2","1","1"
"j",891,"j","57","1","1","2"
"j",629,"j","12","2","1","1"
"k",689,"k","104","1","2","1"
"j",644,"j","64","1","1","2"
"j",634,"j","10","2","1","1"
"j",601,"j","2","2","1","1"
"j",625,"j","17","2","1","2"
"k",747,"k","85","2","2","2"
"k",1155,"k","78","2","2","1"
"j",1261,"j","43","1","1","1"
"j",1300,"j","54","1","1","2"
"k",597,"k","66","2","2","1"
"k",723,"k","110","1","2","1"
"k",1166,"k","125","1","2","2"
"k",657,"k","103","1","2","1"
"k",829,"k","106","1","2","1"
"j",863,"j","13","2","1","1"
"k",1173,"j","33","1","1","1"
"k",864,"j","42","1","1","1"
"k",700,"k","120","1","2","2"
"k",930,"k","90","2","2","2"
"k",753,"k","67","2","2","1"
"k",862,"k","87","2","2","2"
"k",645,"k","108","1","2","1"
"j",1259,"j","60","1","1","2"
"j",878,"j","16","2","1","1"
"j",1052,"j","46","1","1","1"
"j",884,"j","61","1","1","2"
"k",741,"k","113","1","2","2"
"k",887,"k","76","2","2","1"
"j",1167,"j","32","2","1","2"
"j",800,"j","23","2","1","2"
"k",902,"k","102","1","2","1"
"j",981,"j","7","2","1","1"
"k",769,"k","74","2","2","1"
"j",1086,"j","38","1","1","1"
"k",648,"k","69","2","2","1"
"j",695,"j","24","2","1","2"
"k",710,"k","79","2","2","1"
"j",608,"j","9","2","1","1"
"j",1038,"j","34","1","1","1"
"k",661,"k","84","2","2","2"
"j",867,"j","48","1","1","1"
"k",639,"k","94","2","2","2"
"k",831,"k","96","2","2","2"
"j",1243,"j","49","1","1","2"
"j",1157,"j","14","2","1","1"
"j",651,"j","29","2","1","2"
"k",816,"k","88","2","2","2"
"k",924,"k","111","1","2","1"
"k",916,"k","65","2","2","1"
"j",1288,"j","51","1","1","2"
"k",847,"k","83","2","2","2"
"j",1283,"j","62","1","1","2"
"j",1068,"j","37","1","1","1"
"k",644,"k","82","2","2","2"
"j",799,"j","36","1","1","1"
