"k",662,"k","105","1","2","1"
"k",584,"k","58","1","1","2"
"j",575,"j","90","2","2","2"
"k",627,"k","116","1","2","2"
"k",759,"k","114","1","2","2"
"k",842,"k","46","1","1","1"
"j",668,"j","3","2","1","1"
"k",820,"k","99","1","2","1"
"j",714,"j","68","2","2","1"
"j",839,"j","18","2","1","2"
"j",1076,"j","82","2","2","2"
"k",685,"k","100","1","2","1"
"j",568,"j","12","2","1","1"
"k",592,"k","109","1","2","1"
"j",571,"j","71","2","2","1"
"j",674,"j","1","2","1","1"
"j",741,"j","25","2","1","2"
"k",531,"k","59","1","1","2"
"k",882,"k","51","1","1","2"
"k",723,"k","98","1","2","1"
"k",611,"k","47","1","1","1"
"k",755,"k","35","1","1","1"
"j",943,"j","93","2","2","2"
"j",636,"j","2","2","1","1"
"k",540,"k","63","1","1","2"
"k",569,"k","43","1","1","1"
"j",700,"j","96","2","2","2"
"j",588,"j","5","2","1","1"
"k",760,"k","54","1","1","2"
"k",646,"k","112","1","2","1"
"j",852,"j","8","2","1","1"
"k",601,"k","107","1","2","1"
"j",1022,"k","41","1","1","1"
"j",680,"j","85","2","2","2"
"j",1157,"j","24","2","1","2"
"k",1037,"k","97","1","2","1"
"k",817,"k","33","1","1","1"
"k",654,"k","127","1","2","2"
"j",644,"j","10","2","1","1"
"j",936,"j","75","2","2","1"
"j",686,"j","22","2","1","2"
"k",673,"k","108","1","2","1"
"j",886,"j","84","2","2","2"
"k",798,"k","38","1","1","1"
"j",627,"j","70","2","2","1"
"k",809,"k","118","1","2","2"
"j",697,"j","73","2","2","1"
"j",760,"j","13","2","1","1"
"j",763,"j","29","2","1","2"
"k",557,"k","103","1","2","1"
"k",615,"k","44","1","1","1"
"j",723,"k","34","1","1","1"
"j",939,"j","65","2","2","1"
"j",1026,"j","31","2","1","2"
"k",785,"k","123","1","2","2"
"k",1288,"k","121","1","2","2"
"k",547,"k","42","1","1","1"
"k",768,"k","110","1","2","1"
"j",740,"j","28","2","1","2"
"j",866,"j","81","2","2","2"
"k",1490,"k","122","1","2","2"
"j",694,"j","95","2","2","2"
"j",582,"j","74","2","2","1"
"j",743,"j","87","2","2","2"
"k",737,"k","45","1","1","1"
"j",910,"j","30","2","1","2"
"j",726,"j","86","2","2","2"
"j",563,"j","69","2","2","1"
"k",619,"k","101","1","2","1"
"j",573,"j","89","2","2","2"
"j",804,"j","19","2","1","2"
"j",663,"j","23","2","1","2"
"k",596,"k","40","1","1","1"
"k",750,"k","64","1","1","2"
"j",753,"j","67","2","2","1"
"j",689,"j","92","2","2","2"
"j",607,"j","11","2","1","1"
"k",658,"k","125","1","2","2"
"j",674,"j","77","2","2","1"
"j",951,"j","66","2","2","1"
"k",1175,"k","102","1","2","1"
"j",585,"j","6","2","1","1"
"j",674,"j","9","2","1","1"
"k",761,"k","49","1","1","2"
"j",688,"j","78","2","2","1"
"k",716,"k","126","1","2","2"
"j",580,"j","79","2","2","1"
"k",550,"k","128","1","2","2"
"k",699,"k","124","1","2","2"
"k",744,"k","113","1","2","2"
"k",695,"k","104","1","2","1"
"k",664,"k","53","1","1","2"
"j",842,"j","32","2","1","2"
"j",510,"j","91","2","2","2"
"j",678,"j","20","2","1","2"
"k",721,"k","36","1","1","1"
"j",612,"j","80","2","2","1"
"j",671,"j","15","2","1","1"
"k",1177,"k","57","1","1","2"
"j",579,"j","72","2","2","1"
"k",1166,"k","62","1","1","2"
"k",866,"k","50","1","1","2"
"k",736,"k","120","1","2","2"
"k",571,"k","56","1","1","2"
"k",689,"k","115","1","2","2"
"k",624,"k","60","1","1","2"
"j",516,"j","76","2","2","1"
"k",632,"j","88","2","2","2"
"k",707,"k","111","1","2","1"
"k",651,"k","55","1","1","2"
"j",581,"j","27","2","1","2"
"k",942,"k","48","1","1","1"
"j",710,"j","26","2","1","2"
"k",900,"k","106","1","2","1"
"k",729,"k","37","1","1","1"
"k",805,"k","117","1","2","2"
"j",753,"j","83","2","2","2"
"j",1034,"k","52","1","1","2"
"j",590,"j","21","2","1","2"
"k",1147,"k","61","1","1","2"
"j",751,"j","7","2","1","1"
"j",904,"j","17","2","1","2"
"j",658,"j","94","2","2","2"
"j",586,"j","16","2","1","1"
"k",795,"k","119","1","2","2"
"j",582,"j","14","2","1","1"
"k",626,"k","39","1","1","1"
"j",676,"j","4","2","1","1"
