"j",1183,"j","75","2","2","1"
"j",615,"j","11","2","1","1"
"k",576,"k","113","1","2","2"
"j",729,"j","85","2","2","2"
"k",736,"k","41","1","1","1"
"j",641,"j","92","2","2","2"
"k",874,"k","62","1","1","2"
"j",540,"j","15","2","1","1"
"j",580,"j","72","2","2","1"
"k",937,"k","114","1","2","2"
"j",657,"j","69","2","2","1"
"j",714,"j","16","2","1","1"
"k",656,"k","126","1","2","2"
"j",570,"k","59","1","1","2"
"k",1241,"k","108","1","2","1"
"k",687,"k","47","1","1","1"
"k",561,"k","39","1","1","1"
"k",543,"k","117","1","2","2"
"j",774,"j","2","2","1","1"
"j",599,"j","26","2","1","2"
"j",631,"j","71","2","2","1"
"k",896,"k","128","1","2","2"
"k",1108,"k","36","1","1","1"
"j",926,"j","87","2","2","2"
"j",832,"j","77","2","2","1"
"j",758,"j","94","2","2","2"
"j",924,"j","20","2","1","2"
"k",782,"k","98","1","2","1"
"j",669,"j","12","2","1","1"
"k",1011,"k","61","1","1","2"
"j",804,"j","18","2","1","2"
"k",802,"k","33","1","1","1"
"j",694,"j","13","2","1","1"
"j",843,"j","76","2","2","1"
"k",743,"k","51","1","1","2"
"k",527,"k","125","1","2","2"
"j",712,"j","28","2","1","2"
"k",691,"k","122","1","2","2"
"j",707,"j","74","2","2","1"
"k",926,"k","54","1","1","2"
"k",640,"k","127","1","2","2"
"j",750,"j","6","2","1","1"
"j",687,"j","14","2","1","1"
"j",771,"j","10","2","1","1"
"k",804,"k","48","1","1","1"
"k",732,"k","123","1","2","2"
"j",1077,"j","32","2","1","2"
"k",957,"k","106","1","2","1"
"j",849,"j","90","2","2","2"
"j",900,"j","89","2","2","2"
"k",1019,"k","110","1","2","1"
"k",984,"k","46","1","1","1"
"k",938,"k","118","1","2","2"
"k",962,"k","103","1","2","1"
"j",835,"j","9","2","1","1"
"j",1281,"j","29","2","1","2"
"j",791,"j","25","2","1","2"
"j",809,"j","22","2","1","2"
"j",804,"j","68","2","2","1"
"k",819,"k","50","1","1","2"
"k",908,"k","63","1","1","2"
"j",717,"j","91","2","2","2"
"k",784,"k","100","1","2","1"
"k",791,"k","49","1","1","2"
"k",978,"k","57","1","1","2"
"k",785,"k","60","1","1","2"
"j",757,"j","84","2","2","2"
"j",951,"j","66","2","2","1"
"k",709,"k","109","1","2","1"
"k",813,"k","104","1","2","1"
"j",665,"j","88","2","2","2"
"j",793,"j","82","2","2","2"
"k",749,"k","35","1","1","1"
"k",826,"k","124","1","2","2"
"k",1074,"k","53","1","1","2"
"k",658,"k","52","1","1","2"
"j",1070,"j","1","2","1","1"
"k",916,"k","111","1","2","1"
"k",750,"k","116","1","2","2"
"j",820,"j","7","2","1","1"
"k",809,"k","55","1","1","2"
"j",955,"j","78","2","2","1"
"k",632,"k","102","1","2","1"
"j",920,"j","80","2","2","1"
"k",741,"k","45","1","1","1"
"j",714,"j","21","2","1","2"
"k",668,"k","101","1","2","1"
"j",760,"j","73","2","2","1"
"k",933,"k","121","1","2","2"
"k",705,"k","120","1","2","2"
"j",640,"j","23","2","1","2"
"k",705,"k","112","1","2","1"
"j",717,"j","24","2","1","2"
"j",966,"j","96","2","2","2"
"k",594,"k","97","1","2","1"
"k",793,"k","42","1","1","1"
"k",909,"k","37","1","1","1"
"j",1011,"j","93","2","2","2"
"j",810,"j","95","2","2","2"
"j",701,"j","3","2","1","1"
"k",681,"k","43","1","1","1"
"j",827,"j","70","2","2","1"
"k",811,"k","99","1","2","1"
"j",965,"j","30","2","1","2"
"k",880,"k","64","1","1","2"
"j",833,"j","4","2","1","1"
"j",654,"j","83","2","2","2"
"k",847,"k","107","1","2","1"
"k",654,"k","56","1","1","2"
"j",718,"j","79","2","2","1"
"j",775,"j","17","2","1","2"
"k",759,"k","40","1","1","1"
"j",777,"j","65","2","2","1"
"j",812,"j","8","2","1","1"
"j",973,"j","27","2","1","2"
"j",649,"j","86","2","2","2"
"j",567,"j","5","2","1","1"
"k",778,"k","38","1","1","1"
"k",1309,"j","81","2","2","2"
"j",877,"j","19","2","1","2"
"k",694,"k","105","1","2","1"
"k",744,"k","44","1","1","1"
"j",844,"j","67","2","2","1"
"k",664,"k","34","1","1","1"
"j",1069,"j","31","2","1","2"
"k",757,"k","115","1","2","2"
"k",723,"k","58","1","1","2"
"k",653,"k","119","1","2","2"
