"k",733,"k","96","2","2","2"
"k",613,"k","71","2","2","1"
"k",653,"k","75","2","2","1"
"k",646,"k","76","2","2","1"
"k",999,"k","89","2","2","2"
"k",688,"k","128","1","2","2"
"k",706,"k","90","2","2","2"
"j",553,"j","31","2","1","2"
"k",562,"k","116","1","2","2"
"j",726,"j","25","2","1","2"
"j",1065,"j","50","1","1","2"
"j",677,"j","29","2","1","2"
"j",772,"j","33","1","1","1"
"j",538,"j","5","2","1","1"
"j",557,"j","23","2","1","2"
"k",611,"k","68","2","2","1"
"j",670,"j","21","2","1","2"
"k",539,"k","112","1","2","1"
"k",701,"k","79","2","2","1"
"k",604,"k","67","2","2","1"
"k",1094,"k","81","2","2","2"
"j",584,"j","15","2","1","1"
"j",542,"j","40","1","1","1"
"j",543,"j","41","1","1","1"
"j",756,"j","19","2","1","2"
"k",824,"k","83","2","2","2"
"j",865,"j","38","1","1","1"
"j",775,"j","20","2","1","2"
"j",586,"j","48","1","1","1"
"j",526,"j","42","1","1","1"
"k",604,"k","87","2","2","2"
"j",798,"j","62","1","1","2"
"j",620,"j","7","2","1","1"
"j",631,"j","18","2","1","2"
"k",933,"k","72","2","2","1"
"j",722,"j","63","1","1","2"
"j",704,"j","51","1","1","2"
"j",773,"j","11","2","1","1"
"k",577,"k","100","1","2","1"
"k",637,"k","125","1","2","2"
"j",494,"j","37","1","1","1"
"k",764,"j","49","1","1","2"
"j",837,"j","27","2","1","2"
"j",630,"j","28","2","1","2"
"j",630,"j","1","2","1","1"
"k",655,"k","121","1","2","2"
"k",706,"k","80","2","2","1"
"k",742,"k","104","1","2","1"
"k",622,"k","107","1","2","1"
"k",720,"k","93","2","2","2"
"j",909,"j","43","1","1","1"
"j",520,"j","16","2","1","1"
"k",643,"k","66","2","2","1"
"k",699,"k","102","1","2","1"
"j",654,"j","59","1","1","2"
"k",727,"k","103","1","2","1"
"k",869,"k","77","2","2","1"
"j",622,"j","26","2","1","2"
"j",507,"j","3","2","1","1"
"k",533,"k","127","1","2","2"
"j",438,"j","2","2","1","1"
"j",598,"j","22","2","1","2"
"j",722,"j","45","1","1","1"
"k",637,"k","69","2","2","1"
"j",639,"j","24","2","1","2"
"j",665,"j","57","1","1","2"
"k",518,"k","122","1","2","2"
"j",515,"j","30","2","1","2"
"k",753,"k","114","1","2","2"
"k",719,"k","74","2","2","1"
"k",694,"k","97","1","2","1"
"k",626,"k","110","1","2","1"
"k",654,"k","86","2","2","2"
"j",553,"j","10","2","1","1"
"k",1243,"k","98","1","2","1"
"j",1202,"j","34","1","1","1"
"k",706,"k","70","2","2","1"
"j",605,"j","17","2","1","2"
"k",624,"k","117","1","2","2"
"k",551,"k","82","2","2","2"
"j",631,"j","12","2","1","1"
"k",642,"k","126","1","2","2"
"k",666,"j","54","1","1","2"
"k",546,"k","99","1","2","1"
"k",555,"k","109","1","2","1"
"k",625,"k","123","1","2","2"
"k",617,"k","91","2","2","2"
"k",822,"k","119","1","2","2"
"k",492,"k","106","1","2","1"
"j",757,"j","47","1","1","1"
"j",523,"j","44","1","1","1"
"k",693,"k","115","1","2","2"
"j",641,"j","32","2","1","2"
"k",771,"k","108","1","2","1"
"j",705,"j","52","1","1","2"
"k",435,"k","105","1","2","1"
"j",539,"j","9","2","1","1"
"j",570,"j","60","1","1","2"
"j",629,"j","64","1","1","2"
"k",636,"k","118","1","2","2"
"k",779,"k","113","1","2","2"
"j",908,"j","53","1","1","2"
"j",822,"j","55","1","1","2"
"j",716,"j","14","2","1","1"
"k",865,"k","111","1","2","1"
"j",531,"j","8","2","1","1"
"k",637,"k","94","2","2","2"
"k",767,"k","78","2","2","1"
"k",761,"k","88","2","2","2"
"k",517,"k","120","1","2","2"
"k",652,"k","73","2","2","1"
"j",860,"j","36","1","1","1"
"j",547,"j","6","2","1","1"
"j",744,"j","35","1","1","1"
"j",544,"j","13","2","1","1"
"j",744,"j","58","1","1","2"
"k",524,"k","101","1","2","1"
"j",517,"j","56","1","1","2"
"j",1147,"j","39","1","1","1"
"k",566,"k","95","2","2","2"
"j",754,"j","61","1","1","2"
"j",535,"j","4","2","1","1"
"k",679,"k","92","2","2","2"
"k",662,"k","124","1","2","2"
"k",919,"k","85","2","2","2"
"k",589,"k","65","2","2","1"
"j",811,"j","46","1","1","1"
"k",497,"k","84","2","2","2"
